#t(ms);charge
0 ; 28
2 ; 79
3 ; 129
5 ; 175
7 ; 221
9 ; 262
10 ; 303
12 ; 342
14 ; 379
16 ; 414
17 ; 448
19 ; 478
21 ; 508
23 ; 536
25 ; 562
27 ; 587
28 ; 611
30 ; 633
32 ; 653
34 ; 673
36 ; 692
37 ; 709
39 ; 726
41 ; 742
43 ; 758
45 ; 772
46 ; 783
48 ; 796
50 ; 807
52 ; 819
54 ; 829
55 ; 839
57 ; 848
59 ; 858
61 ; 866
63 ; 874
64 ; 882
66 ; 889
68 ; 896
70 ; 902
72 ; 908
73 ; 913
75 ; 919
77 ; 924
79 ; 929
81 ; 933
83 ; 938
84 ; 942
86 ; 946
88 ; 950
90 ; 953
92 ; 956
93 ; 959
95 ; 963
97 ; 965
99 ; 968
101 ; 971
102 ; 973
104 ; 976
106 ; 978
108 ; 980
110 ; 982
112 ; 984
114 ; 986
116 ; 988
118 ; 989
120 ; 991
121 ; 992
123 ; 994
125 ; 995
127 ; 996
129 ; 997
131 ; 997
133 ; 998
135 ; 999
137 ; 1000
139 ; 1001
140 ; 1006
143 ; 1007
145 ; 1004
146 ; 1004
148 ; 1005
151 ; 1006
153 ; 1007
155 ; 1007
157 ; 1008
159 ; 1008
160 ; 1009
163 ; 1010
165 ; 1011
166 ; 1011
169 ; 1012
171 ; 1012
172 ; 1012
175 ; 1013
177 ; 1013
178 ; 1013
181 ; 1014
183 ; 1014
184 ; 1014
186 ; 1015
188 ; 1015
191 ; 1015
192 ; 1015
194 ; 1015
196 ; 1015
198 ; 1016
200 ; 1016
202 ; 1016
204 ; 1016
206 ; 1016
208 ; 1017
210 ; 1017
212 ; 1017
214 ; 1017
216 ; 1017
218 ; 1017
220 ; 1018
222 ; 1018
224 ; 1018
226 ; 1018
228 ; 1018
230 ; 1018
232 ; 1018
234 ; 1018
236 ; 1019
238 ; 1022
240 ; 1023
242 ; 1018
244 ; 1018
246 ; 1018
248 ; 1019
250 ; 1018
252 ; 1018
254 ; 1018
256 ; 1018
258 ; 1018
260 ; 1019
262 ; 1019
264 ; 1019
266 ; 1019
268 ; 1019
270 ; 1019
272 ; 1019
274 ; 1019
276 ; 1019
278 ; 1019
280 ; 1020
282 ; 1020
284 ; 1020
286 ; 1020
288 ; 1020
290 ; 1020
291 ; 1020
294 ; 1020
295 ; 1020
297 ; 1020
299 ; 1020
301 ; 1020
