>>> #t(ms);charge
0 ; 992
2 ; 939
4 ; 888
5 ; 839
7 ; 795
9 ; 753
10 ; 712
12 ; 673
14 ; 635
16 ; 600
18 ; 565
19 ; 534
21 ; 504
23 ; 476
25 ; 451
27 ; 426
29 ; 401
30 ; 378
32 ; 358
34 ; 338
36 ; 320
37 ; 302
39 ; 286
41 ; 270
43 ; 255
45 ; 241
47 ; 228
48 ; 215
50 ; 204
52 ; 193
54 ; 182
56 ; 173
57 ; 163
59 ; 154
61 ; 146
63 ; 139
65 ; 131
66 ; 124
68 ; 118
70 ; 111
72 ; 106
74 ; 100
75 ; 95
77 ; 90
79 ; 85
80 ; 81
82 ; 77
84 ; 73
86 ; 70
87 ; 66
89 ; 63
91 ; 60
92 ; 57
94 ; 54
96 ; 52
98 ; 49
99 ; 47
101 ; 45
103 ; 42
105 ; 40
107 ; 38
108 ; 36
110 ; 35
112 ; 33
114 ; 31
116 ; 30
117 ; 28
119 ; 27
121 ; 26
123 ; 25
125 ; 23
126 ; 22
128 ; 21
130 ; 20
132 ; 19
134 ; 18
135 ; 18
137 ; 17
139 ; 16
141 ; 15
143 ; 15
144 ; 14
146 ; 13
148 ; 13
150 ; 12
152 ; 12
153 ; 11
155 ; 11
157 ; 10
159 ; 10
161 ; 9
162 ; 9
164 ; 9
166 ; 8
167 ; 8
169 ; 8
171 ; 8
173 ; 7
174 ; 7
176 ; 7
178 ; 6
179 ; 6
181 ; 6
183 ; 6
185 ; 6
186 ; 5
188 ; 5
190 ; 5
192 ; 5
193 ; 5
195 ; 5
197 ; 4
198 ; 4
200 ; 4
202 ; 4
204 ; 4
205 ; 4
207 ; 4
209 ; 4
210 ; 3
212 ; 3
214 ; 3
216 ; 3
217 ; 3
219 ; 3
221 ; 3
223 ; 3
224 ; 3
226 ; 3
228 ; 3
229 ; 3
231 ; 3
233 ; 2
235 ; 2
236 ; 2
238 ; 2
240 ; 2
241 ; 2
243 ; 2
245 ; 2
247 ; 2
248 ; 2
250 ; 2
252 ; 2
253 ; 2
255 ; 2
257 ; 2
259 ; 2
260 ; 2
262 ; 2
264 ; 2
266 ; 2
267 ; 2
269 ; 2
271 ; 2
273 ; 1
274 ; 1
276 ; 1
278 ; 1
279 ; 1
281 ; 1
283 ; 1
285 ; 1
286 ; 1
288 ; 1
290 ; 1
292 ; 1
293 ; 1
295 ; 1
297 ; 1
298 ; 1
300 ; 1
302 ; 1
