temps;charge
28;0.78
696;3.13
1336;5.67
2024;8.11
2720;10.46
3468;13.20
4212;15.64
4956;17.99
5696;20.33
6436;22.48
7172;24.73
7924;26.78
8668;28.84
9412;30.89
10164;32.84
10960;34.90
11752;36.75
12540;38.61
13332;40.47
14128;42.13
15192;44.48
16296;46.73
17400;48.97
18508;51.03
19612;52.98
20716;54.94
21820;56.70
22928;58.46
24032;60.12
25136;61.78
26244;63.25
27348;64.81
28452;66.18
29556;67.55
30664;68.82
31768;69.99
32872;71.26
33976;72.34
35084;73.51
36192;74.49
37292;75.56
38396;76.54
39500;77.42
40608;78.30
41712;79.18
42816;80.06
43920;80.84
45028;81.52
46132;82.31
47236;82.99
48340;83.68
49448;84.16
50552;84.85
51656;85.34
52760;85.92
53868;86.51
54972;87.00
56076;87.49
57180;87.98
58288;88.47
59392;88.95
60496;89.35
61600;89.83
62708;90.13
63816;90.52
64916;90.81
66024;91.10
67128;91.50
68232;91.79
69340;92.18
70444;92.38
71548;92.67
72656;92.96
73760;93.26
74864;93.45
75968;93.65
77076;93.84
78180;94.13
79284;94.43
80388;94.72
81496;94.92
82600;95.01
83704;95.11
84808;95.31
85916;95.50
87020;95.60
88124;95.80
89228;95.89
90332;96.09
91440;96.29
92544;96.29
93648;96.38
94752;96.58
95860;96.77
96964;96.87
98068;96.87
99176;97.07
100280;97.17
101468;97.26
102660;97.26
103848;97.36
105040;97.56
106228;97.56
107420;97.65
108608;97.75
109800;97.85
110988;97.85
112180;97.95
113368;98.04
114560;98.04
115748;98.14
116940;98.24
118128;98.34
119320;98.34
120508;98.44
121700;98.53
122888;98.53
124080;98.53
125276;98.53
126460;98.53
127648;98.73
128840;98.73
130028;98.73
131220;98.73
132408;98.83
133600;98.83
134788;98.92
135980;98.83
137168;98.92
138360;98.92
139548;99.02
140740;99.02
141928;99.12
143120;99.12
144308;99.12
145500;99.12
146688;99.12
147880;99.12
149068;99.12
150260;99.22
151448;99.22
152640;99.22
153828;99.22
155020;99.32
156208;99.22
157400;99.22
158588;99.32
159780;99.41
160968;99.41
162160;99.41
163348;99.41
164540;99.41
165728;99.32
166920;99.32
168108;99.41
169304;99.41
170488;99.41
171680;99.41
172868;99.41
174060;99.51
175248;99.41
176440;99.51
177628;99.51
178820;99.51
180008;99.51
181200;99.61
182388;99.61
183580;99.61
184768;99.61
185960;99.61
187148;99.51
188340;99.51
189528;99.61
190720;99.61
191908;99.61
193100;99.51
194288;99.51
195480;99.61
196668;99.61
197860;99.71
199048;99.61
200240;99.61
201428;99.71
202620;99.71
203808;99.71
205000;99.61
206188;99.61
207380;99.61
208568;99.61
209760;99.61
210948;99.61
212140;99.61
213336;99.71
214520;99.61
215708;99.61
216900;99.71
218088;99.61
219280;99.71
220468;99.71
221660;99.71
222848;99.71
224040;99.71
225228;99.71
226420;99.71
227608;99.71
228800;99.71
229988;99.71
231180;99.71
232368;99.71
233560;99.71
234748;99.71
235940;99.71
237128;99.80
238320;99.71
239508;99.80
240700;99.80
241888;99.71
243080;99.71
244268;99.71
245460;99.71
246648;99.71
247840;99.71
249028;99.71
250220;99.71
251408;99.71
252600;99.80
253788;99.71
254980;99.71
256168;99.71
257364;99.80
258548;99.80
259740;99.80
260928;99.80
262120;99.80
263308;99.80
264500;99.71
265688;99.71
266880;99.71
268068;99.80
269260;99.80
