temps;charge
24.0;12.71
756.0;13.2
1448.0;15.25
2188.0;17.2
2932.0;19.94
3668.0;20.63
4400.0;21.7
5148.0;24.05
5880.0;25.32
6628.0;27.17
7372.0;28.84
8120.0;30.6
8872.0;32.26
9612.0;33.92
10348.0;35.48
11140.0;37.15
11936.0;38.71
12732.0;40.27
13520.0;41.74
14416.0;43.5
15524.0;45.45
16628.0;47.41
17732.0;49.27
18836.0;51.03
19948.0;52.69
21048.0;54.45
22152.0;56.01
23256.0;57.58
24360.0;59.14
25468.0;60.61
26572.0;62.07
27676.0;63.34
28780.0;64.71
29888.0;65.88
30992.0;67.06
32096.0;68.23
33200.0;69.31
34308.0;70.38
35412.0;71.46
36516.0;72.43
37620.0;73.41
38728.0;74.39
39832.0;75.27
40936.0;76.05
42040.0;76.93
43148.0;77.81
44252.0;78.59
45356.0;79.28
46460.0;79.96
47572.0;80.65
48672.0;81.33
49776.0;82.01
50880.0;82.6
51988.0;83.28
53092.0;83.77
54196.0;84.36
55300.0;84.95
56408.0;85.43
57512.0;85.92
58616.0;86.31
59720.0;86.8
60828.0;87.29
61936.0;87.68
63036.0;88.17
64140.0;88.56
65248.0;88.95
66352.0;89.25
67460.0;89.64
68564.0;90.03
69668.0;90.32
70772.0;90.62
71880.0;91.01
72984.0;91.3
74088.0;91.5
75192.0;91.79
76300.0;92.18
77404.0;92.38
78508.0;92.57
79612.0;92.86
80720.0;93.06
81824.0;93.26
82928.0;93.55
84032.0;93.74
85140.0;93.94
86244.0;94.13
87348.0;94.33
88456.0;94.53
89564.0;94.62
90664.0;94.82
91768.0;95.01
92872.0;95.21
93980.0;95.21
95084.0;95.5
96188.0;95.6
97296.0;95.8
98400.0;95.8
99504.0;95.99
100608.0;96.09
101800.0;96.19
102988.0;96.38
104180.0;96.48
105368.0;96.68
106560.0;96.77
107748.0;96.87
108940.0;96.97
110128.0;96.97
111320.0;97.07
112508.0;97.17
113700.0;97.17
114888.0;97.26
116080.0;97.46
117268.0;97.56
118460.0;97.56
119648.0;97.65
120840.0;97.75
122028.0;97.85
123220.0;97.95
124408.0;97.95
125600.0;98.04
126788.0;98.14
127980.0;98.14
129168.0;98.14
130360.0;98.24
131556.0;98.34
132740.0;98.34
133928.0;98.34
135120.0;98.44
136308.0;98.44
137500.0;98.53
138688.0;98.53
139880.0;98.63
141068.0;98.63
142260.0;98.73
143448.0;98.73
144640.0;98.83
145828.0;98.83
147020.0;98.83
148208.0;98.83
149400.0;98.92
150588.0;98.83
151780.0;98.92
152968.0;98.92
154160.0;98.92
155348.0;99.02
156540.0;99.02
157728.0;99.02
158920.0;99.12
160108.0;99.12
161300.0;99.12
162488.0;99.12
163680.0;99.22
164868.0;99.22
166060.0;99.32
167248.0;99.32
168440.0;99.22
169628.0;99.22
170820.0;99.22
172008.0;99.32
173200.0;99.22
174388.0;99.22
175584.0;99.32
176768.0;99.32
177960.0;99.32
179148.0;99.32
180340.0;99.32
181528.0;99.41
182720.0;99.41
183908.0;99.41
185100.0;99.51
186288.0;99.51
187480.0;99.51
188668.0;99.51
189860.0;99.51
191048.0;99.51
192240.0;99.51
193428.0;99.51
194620.0;99.51
195808.0;99.51
197000.0;99.51
198188.0;99.51
199380.0;99.51
200568.0;99.51
201760.0;99.61
202948.0;99.61
204140.0;99.61
205328.0;99.61
206520.0;99.61
207708.0;99.61
208900.0;99.61
210088.0;99.61
211280.0;99.61
212468.0;99.61
213660.0;99.61
214848.0;99.61
216040.0;99.61
217228.0;99.61
218420.0;99.61
219616.0;99.61
220800.0;99.61
221988.0;99.61
223180.0;99.8
224368.0;99.71
225560.0;99.71
226748.0;99.71
227940.0;99.71
229128.0;99.8
230320.0;99.71
231508.0;99.61
232700.0;99.61
233888.0;99.71
235080.0;99.71
236268.0;99.71
237460.0;99.71
238648.0;99.61
239840.0;99.71
241028.0;99.8
242220.0;99.71
243408.0;99.71
244600.0;99.71
245788.0;99.8
246980.0;99.8
248168.0;99.71
249360.0;99.71
250548.0;99.71
251740.0;99.8
252928.0;99.8
254120.0;99.8
255308.0;99.71
256500.0;99.71
257688.0;99.8
258880.0;99.71
260068.0;99.71
261260.0;99.8
262448.0;99.71
263644.0;99.8
264828.0;99.71
266020.0;99.8
267208.0;99.71
268400.0;99.8
269588.0;99.8
