T;Requiv
88.3715 ; 86.5643
86.7345 ; 86.5064
86.138 ; 87.1412
85.8473 ; 87.7196
85.5261 ; 88.2979
85.4037 ; 89.4567
85.2201 ; 89.8052
84.9447 ; 90.6182
84.7612 ; 90.6182
84.5317 ; 91.7822
84.2409 ; 91.7822
84.042 ; 92.9486
84.042 ; 92.9486
83.8279 ; 93.8251
83.4455 ; 94.1173
83.3843 ; 94.2931
83.0937 ; 95.2889
82.7723 ; 95.2889
82.4663 ; 96.1694
82.3287 ; 96.4629
81.9615 ; 96.4629
81.8086 ; 97.4628
81.5792 ; 97.6393
81.2885 ; 97.6393
81.2578 ; 98.8184
81.0742 ; 98.8184
80.9366 ; 98.8184
80.646 ; 100.0
80.4012 ; 100.0
80.34 ; 100.0
80.0494 ; 101.184
79.927 ; 101.184
79.728 ; 101.184
79.5444 ; 102.311
79.4067 ; 102.371
79.1621 ; 102.371
78.9479 ; 103.56
78.7336 ; 103.56
78.5347 ; 103.56
78.29 ; 104.275
78.0452 ; 104.751
77.6628 ; 104.751
77.3721 ; 104.751
77.3109 ; 105.946
77.4334 ; 105.946
77.2956 ; 105.946
77.0661 ; 106.305
76.959 ; 107.143
76.6991 ; 107.143
76.4849 ; 107.143
76.3625 ; 107.743
76.179 ; 108.342
76.0413 ; 108.342
75.7964 ; 108.342
75.7658 ; 109.304
75.5822 ; 109.544
75.4445 ; 109.544
75.261 ; 109.544
75.1692 ; 110.749
74.9703 ; 110.749
74.8327 ; 110.749
74.6186 ; 110.749
74.5421 ; 111.534
74.3738 ; 111.956
74.2207 ; 111.956
74.0677 ; 111.956
73.93 ; 112.501
73.8076 ; 113.166
73.6241 ; 113.166
73.4559 ; 113.166
73.3488 ; 113.166
73.1957 ; 114.318
73.058 ; 114.379
72.951 ; 114.379
72.7521 ; 114.379
72.6909 ; 115.351
72.4767 ; 115.594
72.3849 ; 115.594
72.2167 ; 115.594
72.1403 ; 115.594
72.0179 ; 116.812
71.8342 ; 116.812
71.773 ; 116.812
71.5129 ; 116.812
71.4823 ; 117.056
71.3141 ; 118.033
71.2529 ; 118.033
71.0387 ; 118.033
70.9623 ; 118.033
70.8398 ; 118.767
70.6563 ; 119.256
70.5798 ; 119.256
70.5646 ; 119.256
70.3809 ; 119.256
70.2891 ; 120.236
70.182 ; 120.482
69.9678 ; 120.482
69.876 ; 120.482
69.769 ; 120.482
69.6619 ; 121.403
69.5854 ; 121.71
69.2947 ; 121.71
69.1876 ; 121.71
69.0499 ; 121.71
68.9886 ; 122.511
68.8051 ; 122.941
68.6981 ; 122.941
68.4533 ; 122.941
68.5298 ; 122.941
68.4227 ; 123.312
68.2698 ; 124.176
68.2851 ; 124.176
68.178 ; 124.176
68.0556 ; 124.176
67.9179 ; 124.238
67.7036 ; 125.412
67.6119 ; 125.412
67.153 ; 125.412
67.2295 ; 125.412
67.1989 ; 125.412
66.9235 ; 125.97
66.8929 ; 126.652
66.7859 ; 126.652
66.6176 ; 126.652
66.5411 ; 126.652
66.1585 ; 126.652
66.4646 ; 127.894
66.2963 ; 127.894
66.281 ; 127.894
66.1586 ; 127.894
66.0056 ; 127.894
65.9444 ; 128.392
65.822 ; 129.139
65.6691 ; 129.139
65.6691 ; 129.139
65.4396 ; 129.139
65.3784 ; 129.139
65.2408 ; 130.199
65.149 ; 130.387
65.0573 ; 130.387
64.9807 ; 130.387
64.7665 ; 130.387
64.7512 ; 130.387
64.6899 ; 131.637
64.4911 ; 131.637
64.4299 ; 131.637
64.3687 ; 131.637
64.1546 ; 131.637
64.1546 ; 131.637
64.1087 ; 132.89
63.8792 ; 132.89
63.8334 ; 132.89
63.7874 ; 132.89
63.5732 ; 132.89
63.512 ; 132.953
63.5273 ; 134.146
63.3896 ; 134.146
63.2367 ; 134.146
63.2061 ; 134.146
63.099 ; 134.146
62.9155 ; 134.209
62.9001 ; 135.405
62.7625 ; 135.405
